pool_a,pool_b,offset_a_vs_b
17,27,-12.360902999581333
17,28,25.90048807279813
17,29,-31.106255644871915
17,30,-1.1231376116318954
17,31,-5.024851080561275
17,32,-7.053483737516091
17,33,-3.3870802896760557
17,34,4.6450985531762825
17,35,1.4546345567795074
17,36,-0.842761957026816
17,37,2.1085157383907975
17,38,7.257753946221122
17,39,4.6319107370810375
17,40,-14.493734273917795
17,41,-2.2441109177405543
17,42,1.6178820197489348
17,43,1.7380417674497681
17,44,1.4393216555204202
17,45,-12.622847784938996
17,46,9.689172113178545
17,47,-1.8495399118500773
17,48,-0.17796131560963394
17,49,-0.18186587224577858
17,50,6.6047972202120135
17,51,0.7612881447820272
17,52,0.5555375517860575
17,53,0.0
17,54,-0.987323455115799
17,55,0.004263820025148803
17,56,0.18430466092392198
18,19,-0.5124667202745763
18,20,2.6881023450884873
18,21,-0.7000015038104428
18,22,-3.780137529193225
18,23,12.190598912463047
18,24,-5.84268255457589
18,25,-2.8510483406687332
18,26,-4.66087262697311
18,27,-14.230290449390049
18,28,0.16591895832560727
18,29,-4.584338442186386
18,30,2.7652236211444023
18,31,-3.6035678077882523
18,32,-1.3992908417676857
18,33,0.6044283759715476
18,34,-0.2408705007147474
18,35,0.5787834660767822
18,36,-0.10583553201306416
18,37,2.9283046594595237
18,38,2.103252105874891
18,39,-0.7459360659203884
18,40,2.6315501181355083
18,41,-0.5100972698727791
18,42,-1.310100608243675
18,43,8.12852647641949
18,44,0.27601904252275616
18,45,0.546645796825918
18,46,1.8050624045714574
18,47,-0.2825388729377517
18,48,1.5227207069719173
18,49,0.1571747745452781
18,50,0.9336051348080683
18,51,1.7136162688724257
18,52,-2.611108637303612
18,53,0.7684977288809308
18,54,0.0
18,55,0.0
18,56,0.0
19,20,6.554692064368889
19,21,11.7578433318845
19,22,-1.6128034662930393
19,23,0.351814251589551
19,24,2.565497836488744
19,25,-26.63664475092222
19,26,-0.6294961856459397
19,27,-3.228778069251309
19,28,-1.1080060771535136
19,29,-0.0344877053792028
19,30,3.806367019667601
19,31,2.0712498511924906
19,32,-0.22712140738389314
19,33,0.733834636118933
19,34,-2.7301210850366195
19,35,1.5324077618686285
19,36,-4.243249961290119
19,37,-3.5993378131637184
19,38,3.1868206799667447
19,39,8.663438656593788
19,40,0.9047573329784868
19,41,-3.4161303037392083
19,42,5.576916763582047
19,43,3.9506611962951537
19,44,0.27629735627704666
19,45,-0.5927305712623554
19,46,0.5407545198871944
19,47,-18.42583743617555
19,48,-0.05064440185360897
19,49,0.3310127349893708
19,50,0.0
19,51,-1.795745032693945
19,52,0.1495974364303557
19,53,-0.43692069970614933
19,54,0.0
19,55,0.0
19,56,0.5071706008804454
20,21,-1.8464438938542749
20,22,0.21533850309648978
20,23,-2.8174791838295876
20,24,-3.789212930928185
20,25,-2.699120489469087
20,26,-15.052762583972862
20,27,-34.98149655329027
20,28,-4.505803181496301
20,29,-3.350272422506748
20,30,4.860183364991052
20,31,3.04917743150424
20,32,-0.7775371507864269
20,33,-23.41083880655091
20,34,-8.085913139695522
20,35,1.811095032630776
20,36,-4.776513101444834
20,37,-3.5571772217094573
20,38,-0.6328017206782982
20,39,-0.5120052365136358
20,40,2.0086420142562544
20,41,-0.14071560282223353
20,42,-0.08978833693384942
20,43,-23.49339585712286
20,44,0.4708971419608795
20,45,-1.7361468002155163
20,46,-6.114851810809159
20,47,-2.4318210077906772
20,48,1.2813968403219207
20,49,2.200814816491405
20,50,-0.20767068723817575
20,51,-3.1992451527024746
20,52,0.6752768451669093
20,53,0.7709370073953008
20,54,0.0
20,55,2.032708676899109
20,56,0.0
21,22,0.38136186913577735
21,23,-1.2060340033352375
21,24,-1.9217736106653085
21,25,-3.258483110660187
21,26,-1.3437672047075888
21,27,-10.489975139051973
21,28,-5.266228712338747
21,29,-4.757684519480285
21,30,-3.794233815510596
21,31,2.6160897474518965
21,32,-0.8111102593015622
21,33,-3.9075940784820267
21,34,0.6580158050285435
21,35,0.98105521323129
21,36,-0.918683308239906
21,37,0.4344151896942003
21,38,-2.0456670847407152
21,39,7.94176288932343
21,40,-1.1780493475674652
21,41,-4.024586627054723
21,42,8.391922640844395
21,43,-0.946783677931047
21,44,-0.12373044471408118
21,45,-1.2226064155316716
21,46,-0.3150595000467722
21,47,0.600305741142349
21,48,0.39629034602562124
21,49,-1.2731166226130828
21,50,0.0
21,51,-0.43511042355918933
21,52,0.8353623292245611
21,53,0.0
21,54,0.0
21,55,0.0
21,56,-0.8271569576413057
22,23,1.0925773593418113
22,24,1.4859047846215192
22,25,1.3790695052891604
22,26,4.070218093373273
22,27,-2.5544769326468866
22,28,2.260488129677259
22,29,-11.388195217759648
22,30,0.39562843781886015
22,31,5.1665402831575165
22,32,4.993074489223356
22,33,0.2705137703268489
22,34,-1.1443546974840748
22,35,-22.214495180190028
22,36,-0.5114159021810506
22,37,0.5431572923264782
22,38,4.205824599060153
22,39,0.2635830697660141
22,40,-22.719974910438886
22,41,0.2943150092161649
22,42,-0.13263534470391664
22,43,-0.794732500908191
22,44,-0.6396457768320998
22,45,-3.901249886469957
22,46,-0.47008550666177146
22,47,-0.19999051377956262
22,48,-1.4842417456131254
22,49,-0.08225296768139972
22,50,-2.452155847504224
22,51,4.102186690350506
22,52,0.08789630668887173
22,53,0.0
22,54,0.3776536537114706
22,55,0.0
22,56,0.0
23,24,5.390722160179656
23,25,3.9092922487335313
23,26,-4.243092994246367
23,27,-16.903242444858368
23,28,2.4726162352796046
23,29,-1.0131707897823756
23,30,2.7447993298400433
23,31,-1.9209325266024417
23,32,0.6661841527185494
23,33,10.115513355516498
23,34,-1.781978263092458
23,35,-0.2988024475269862
23,36,1.8151699854519565
